"","x"
"1",3.81831084748245
"2",0.851049685650669
"3",-0.201677791164869
"4",-1.12835751663131
"5",-0.392033966949508
"6",0.956263672188921
"7",1.02437893721614
"8",1.08145209649294
"9",-0.934579594686512
"10",-0.197173392483907
"11",0.671057134955133
"12",-1.07669142997597
"13",-1.21098224267359
"14",-1.28336050884595
"15",-0.155329165918597
"16",1.02986019138231
"17",-0.234216780617777
"18",0.199865607943584
"19",0.288900327708925
"20",-0.642346392363296
"21",-0.0280667067345814
"22",0.151037049718092
"23",2.07376784949292
"24",0.193831593449417
"25",-1.40963254679249
"26",0.502611432047904
"27",1.47716678126262
"28",1.17204414864816
"29",0.729165736982336
"30",1.05701147665271
"31",-0.442111101188328
"32",-0.216711816317826
"33",-1.04474643748562
"34",-1.98934448622944
"35",-0.143343893417326
"36",-0.813837883245827
"37",-1.52385715564802
"38",0.328027024981821
"39",0.689527158337968
"40",-0.29504502033491
"41",-2.33524624507188
"42",-1.32579843473659
"43",-0.246354432700347
"44",0.598761369261898
"45",-0.234970455670275
"46",-1.21437644373352
"47",0.335324041846231
"48",0.828135295301661
"49",-0.363973670429477
"50",-1.59238913760954
"51",-2.10020609372365
"52",-1.75759642829775
"53",-0.334941682050383
"54",1.7874811037127
"55",2.11961284139443
"56",0.470045324865527
"57",-2.79971196129212
"58",-1.03731569970152
"59",1.31966186940857
"60",-1.90578785541581
"61",-1.65265099240921
"62",0.432665088195295
"63",1.12956231971121
"64",0.783925433021427
"65",-0.674129142171227
"66",0.168204429608086
"67",0.176301657074379
"68",-1.12064040380119
"69",0.295759942338724
"70",-0.995157182721278
"71",0.480832545625663
"72",2.88939116546287
"73",-0.0475607164095515
"74",-2.42925966024174
"75",-0.42400442084656
"76",2.23124979852534
"77",0.622116546012098
"78",1.87458464066389
"79",2.67744831200539
"80",1.18246408962961
"81",-1.96916692114634
"82",-2.40938212710484
"83",1.09128095933805
"84",0.421979462402615
"85",-0.776222705468725
"86",-1.29512474562241
"87",-0.392958525193055
"88",-0.333771236101569
"89",-0.217607307690768
"90",1.03425931576181
"91",-1.25307978715013
"92",-0.854115339313354
"93",0.726487923567833
"94",-0.726332481805976
"95",0.594679360459237
"96",0.654219923052111
"97",-1.66158096237848
"98",-2.19482203011783
"99",0.400348928634214
"100",2.36452289600225
"101",1.23562598148714
"102",-0.939236215531413
"103",0.452630148770581
"104",0.75212792344831
"105",-0.599708053544701
"106",-2.15152329888232
"107",-2.92582532371974
"108",-0.939668029730087
"109",0.868679275889799
"110",-0.0639988572132469
"111",0.488136066489799
"112",0.285021163443203
"113",-1.33614067975434
"114",-1.71598511522318
"115",-0.568562184309898
"116",2.68383706235201
"117",0.135374826437496
"118",-0.667362100384485
"119",-0.208908070625242
"120",-2.55538037522203
